Time (s),z_FL (m),z_FR (m),z_RL (m),z_RR (m)
0,-3.63E-05,-3.67E-05,6.86E-06,-1.87E-05
0.01,-3.15E-05,-3.75E-05,8.37E-06,-1.60E-05
0.02,-2.65E-05,-3.80E-05,9.14E-06,-1.48E-05
0.03,-2.21E-05,-3.80E-05,9.20E-06,-1.54E-05
0.04,-1.93E-05,-3.75E-05,8.75E-06,-1.77E-05
0.05,-1.86E-05,-3.64E-05,7.95E-06,-2.12E-05
0.06,-2.02E-05,-3.48E-05,6.90E-06,-2.52E-05
0.07,-2.38E-05,-3.30E-05,5.58E-06,-2.87E-05
0.08,-2.84E-05,-3.14E-05,4.04E-06,-3.08E-05
0.09,-3.31E-05,-3.03E-05,2.31E-06,-3.11E-05
0.1,-3.69E-05,-3.00E-05,4.60E-07,-2.94E-05
0.11,-3.93E-05,-3.05E-05,-1.54E-06,-2.60E-05
0.12,-3.94E-05,-3.18E-05,-3.79E-06,-2.14E-05
0.13,-3.70E-05,-3.36E-05,-6.48E-06,-1.61E-05
0.14,-3.20E-05,-3.55E-05,-9.85E-06,-1.04E-05
0.15,-2.51E-05,-3.68E-05,-1.40E-05,-4.73E-06
0.16,-1.68E-05,-3.67E-05,-1.90E-05,6.33E-07
0.17,-7.86E-06,-3.48E-05,-2.44E-05,5.32E-06
0.18,1.18E-06,-3.07E-05,-2.99E-05,9.10E-06
0.19,1.01E-05,-2.43E-05,-3.48E-05,1.19E-05
0.2,1.88E-05,-1.58E-05,-3.84E-05,1.40E-05
0.21,2.74E-05,-5.83E-06,-4.05E-05,1.59E-05
0.22,3.58E-05,5.03E-06,-4.08E-05,1.80E-05
0.23,4.39E-05,1.59E-05,-3.93E-05,2.10E-05
0.24,5.15E-05,2.59E-05,-3.65E-05,2.49E-05
0.25,5.84E-05,3.45E-05,-3.30E-05,2.94E-05
0.26,6.40E-05,4.14E-05,-2.93E-05,3.39E-05
0.27,6.80E-05,4.69E-05,-2.60E-05,3.80E-05
0.28,6.98E-05,5.12E-05,-2.32E-05,4.10E-05
0.29,6.91E-05,5.47E-05,-2.07E-05,4.27E-05
0.3,6.58E-05,5.78E-05,-1.83E-05,4.29E-05
0.31,6.00E-05,6.04E-05,-1.55E-05,4.15E-05
0.32,5.23E-05,6.24E-05,-1.23E-05,3.83E-05
0.33,4.34E-05,6.36E-05,-8.67E-06,3.38E-05
0.34,3.38E-05,6.37E-05,-4.80E-06,2.82E-05
0.35,2.43E-05,6.24E-05,-9.33E-07,2.22E-05
