CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;LAPS;ELAPSED;GAP_FIRST;GAP_PREVIOUS;BEST_LAP_NUM;BEST_LAP_TIME;BEST_LAP_KPH;
R;1;1;4;MP Motorsport;Tatuus F4 T -421;Ean EYCKMANS;17;33:04.776;;;11;1:43.307;162.3;
R;8;2;13;G4 Racing;Tatuus F4 T -421;Jean Paul KARRAS;17;33:08.289;+3.513;+3.513;9;1:43.912;161.3;
R;9;3;2;Campos Racing;Tatuus F4 T -421;Vivek KANTHAN;17;33:08.499;+3.723;+0.210;12;1:44.652;160.2;
R;12;4;10;KCL MP Motorsport;Tatuus F4 T -421;Niklas SCHAUFLER;17;33:09.505;+4.729;+1.006;12;1:44.284;160.8;
R;13;5;3;MP Motorsport;Tatuus F4 T -421;Rocco CORONEL;17;33:09.693;+4.917;+0.188;14;1:44.362;160.6;
R;14;6;39;TC Racing;Tatuus F4 T -421;Santino PANETTA;17;33:09.933;+5.157;+0.240;7;1:43.966;161.3;
R;16;7;41;DXR;Tatuus F4 T -421;Stepan SUSLOV;17;33:10.261;+5.485;+0.328;9;1:44.348;160.7;
R;17;8;70;GRS Team;Tatuus F4 T -421;Aleksandar BOGUNOVIC;17;33:10.454;+5.678;+0.193;8;1:44.520;160.4;
R;19;9;48;Drivex;Tatuus F4 T -421;Christopher EL FEGHALI;17;33:12.749;+7.973;+2.295;8;1:43.714;161.6;
R;20;10;57;DXR;Tatuus F4 T -421;Kaiden HIGGINS;17;33:13.038;+8.262;+0.289;11;1:44.492;160.4;
R;21;11;6;T-Code by Amtog;Tatuus F4 T -421;Aleix PIÑERA;17;33:17.693;+12.917;+4.655;10;1:44.355;160.7;
R;23;12;17;Tecnicar by Amtog;Tatuus F4 T -421;Nacho TUÑON;17;33:18.061;+13.285;+0.368;10;1:44.487;160.5;
R;25;13;71;GRS Team;Tatuus F4 T -421;Pablo RICCOBONO;17;33:19.321;+14.545;+1.260;12;1:44.655;160.2;
R;27;14;25;Monlau Motorsport;Tatuus F4 T -421;Miki BLASCOS;17;33:21.509;+16.733;+2.188;8;1:44.872;159.9;
R;29;15;55;Rodin Motorsport;Tatuus F4 T -421;Emma FELBERMAYR;17;33:26.169;+21.393;+4.660;12;1:44.538;160.4;
R;30;16;91;Monlau Motorsport;Tatuus F4 T -421;Santiago BAZTARRICA;17;33:26.913;+22.137;+0.744;14;1:45.675;158.6;
R;31;17;5;Campos Racing;Tatuus F4 T -421;Miguel COSTA;14;26:35.670;3 Laps;3 Laps;7;1:43.879;161.4;
R;33;18;81;Campos Racing;Tatuus F4 T -421;Noah MONTEIRO;2;26:25.241;15 Laps;12 Laps;0;;;
R;34;19;12;G4 Racing;Tatuus F4 T -421;Philippe Armand KARRAS;1;1:54.480;16 Laps;1 Laps;0;;;
