Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
1;Hudson SCHWARTZ;KCL MP Motorsport;1;Turn 1;9;12:35:03.149;4;no;no
1;Hudson SCHWARTZ;KCL MP Motorsport;2;Turn 4;10;12:36:57.189;4;no;no
1;Hudson SCHWARTZ;KCL MP Motorsport;3;Turn 1;12;12:39:50.608;4;no;no
1;Hudson SCHWARTZ;KCL MP Motorsport;4;Turn 6;12;12:40:21.884;4;no;no
2;Vivek KANTHAN;Campos Racing;1;Turn 1;7;12:31:41.016;2;no;no
2;Vivek KANTHAN;Campos Racing;2;Turn 1;9;12:34:51.204;2;no;no
4;Ean EYCKMANS;MP Motorsport;1;Turn 4;5;12:28:46.092;1;no;no
5;Miguel COSTA;Campos Racing;1;Turn 4;6;12:30:23.027;3;no;no
5;Miguel COSTA;Campos Racing;2;Turn 1;8;12:33:15.149;3;no;no
5;Miguel COSTA;Campos Racing;3;Turn 4;13;12:41:27.327;3;no;no
6;Aleix PIÑERA;T-Code by Amtog;1;Turn 2;6;12:30:22.948;3;no;no
6;Aleix PIÑERA;T-Code by Amtog;2;Turn 2;8;12:33:35.913;3;no;no
6;Aleix PIÑERA;T-Code by Amtog;3;Turn 1;12;12:39:51.754;3;no;no
9;René LAMMERS;MP Motorsport;1;Turn 1;15;12:44:14.076;1;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;1;Turn 4;5;12:28:47.554;3;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;2;Turn 4;7;12:31:58.790;3;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;3;Turn 4;13;12:41:27.327;3;no;no
11;Reno FRANCOT;KCL MP Motorsport;1;Turn 1;9;12:34:49.018;2;no;no
11;Reno FRANCOT;KCL MP Motorsport;2;Turn 4;9;12:35:07.645;2;no;no
12;Philippe Armand KARRAS;G4 Racing;1;Turn 1;14;12:42:59.413;4;no;no
12;Philippe Armand KARRAS;G4 Racing;2;Turn 2;14;12:43:08.621;4;no;no
12;Philippe Armand KARRAS;G4 Racing;3;Turn 2;15;12:44:44.509;4;no;no
12;Philippe Armand KARRAS;G4 Racing;4;Turn 1;15;12:44:35.348;4;no;no
13;Jean Paul KARRAS;G4 Racing;1;Turn 14;4;12:28:13.010;3;yes;no
13;Jean Paul KARRAS;G4 Racing;2;Turn 1;9;12:34:56.417;3;no;no
13;Jean Paul KARRAS;G4 Racing;3;Turn 2;12;12:39:55.554;3;no;no
15;Ricardo BAPTISTA;DXR;1;Turn 2;6;12:30:24.422;7;no;no
15;Ricardo BAPTISTA;DXR;2;Turn 1;6;12:30:14.271;7;no;no
15;Ricardo BAPTISTA;DXR;3;Turn 2;7;12:32:02.008;7;no;no
15;Ricardo BAPTISTA;DXR;4;Turn 2;8;12:33:38.204;7;no;no
15;Ricardo BAPTISTA;DXR;5;Turn 11;10;12:37:38.522;7;no;no
15;Ricardo BAPTISTA;DXR;6;Turn 2;11;12:38:26.969;7;no;no
15;Ricardo BAPTISTA;DXR;7;Turn 2;13;12:41:38.631;7;no;no
17;Nacho TUÑON;Tecnicar by Amtog;1;Turn 2;6;12:30:16.182;2;no;no
17;Nacho TUÑON;Tecnicar by Amtog;2;Turn 1;9;12:34:54.609;2;no;no
19;Matus RYBA;Griffin Core;1;Turn 11;7;12:32:42.787;2;no;no
19;Matus RYBA;Griffin Core;2;Turn 1;9;12:34:56.417;2;no;no
22;Juan COTA;MP Motorsport;1;Turn 1;6;12:30:12.810;3;no;no
22;Juan COTA;MP Motorsport;2;Turn 2;14;12:43:10.956;3;no;no
22;Juan COTA;MP Motorsport;3;Turn 4;14;12:43:19.694;3;no;no
23;Jan PRZYROWSKI;Griffin Core;1;Turn 4;5;12:28:46.092;2;no;no
23;Jan PRZYROWSKI;Griffin Core;2;Turn 6;8;12:33:43.350;2;no;no
24;Kyuho LEE;Rodin Motorsport;1;Turn 1;6;12:30:09.490;2;no;no
24;Kyuho LEE;Rodin Motorsport;2;Turn 1;9;12:36:46.287;2;no;no
25;Miki BLASCOS;Monlau Motorsport;1;Turn 2;5;12:28:40.142;3;no;no
25;Miki BLASCOS;Monlau Motorsport;2;Turn 4;5;12:28:50.693;3;no;no
25;Miki BLASCOS;Monlau Motorsport;3;Turn 2;6;12:30:16.966;3;no;no
27;Alexander JACOBY;Monlau Motorsport;1;Turn 2;9;12:35:07.171;4;no;no
27;Alexander JACOBY;Monlau Motorsport;2;Turn 4;10;12:36:51.717;4;no;no
27;Alexander JACOBY;Monlau Motorsport;3;Turn 4;11;12:38:27.440;4;no;no
27;Alexander JACOBY;Monlau Motorsport;4;Turn 2;12;12:39:54.554;4;no;no
37;Filippo FIORENTINO;Drivex;1;Turn 1;8;12:33:22.945;2;no;no
37;Filippo FIORENTINO;Drivex;2;Turn 2;11;12:38:18.636;2;no;no
39;Santino PANETTA;TC Racing;1;Turn 4;10;12:36:46.050;2;no;no
39;Santino PANETTA;TC Racing;2;Turn 4;14;12:43:06.324;2;no;no
41;Stepan SUSLOV;DXR;1;Turn 2;5;12:28:42.482;4;no;no
41;Stepan SUSLOV;DXR;2;Turn 2;7;12:31:56.716;4;no;no
41;Stepan SUSLOV;DXR;3;Turn 2;11;12:38:21.506;4;no;no
41;Stepan SUSLOV;DXR;4;Turn 2;15;12:44:46.308;4;no;no
48;Gino TRAPPA;Drivex;1;Turn 2;5;12:28:40.142;3;no;no
48;Gino TRAPPA;Drivex;2;Turn 4;10;12:36:46.050;3;no;no
48;Gino TRAPPA;Drivex;3;Turn 14;14;12:44:05.420;3;yes;no
57;Kaiden HIGGINS;DXR;1;Turn 2;9;12:35:13.176;5;no;no
57;Kaiden HIGGINS;DXR;2;Turn 4;9;12:35:22.215;5;no;no
57;Kaiden HIGGINS;DXR;3;Turn 2;11;12:38:25.107;5;no;no
57;Kaiden HIGGINS;DXR;4;Turn 4;11;12:38:34.781;5;no;no
57;Kaiden HIGGINS;DXR;5;Turn 2;15;12:44:50.756;5;no;no
70;Aleksandar BOGUNOVIC;GRS Team;1;Turn 6;6;12:30:47.808;4;no;no
70;Aleksandar BOGUNOVIC;GRS Team;2;Turn 4;6;12:30:34.029;4;no;no
70;Aleksandar BOGUNOVIC;GRS Team;3;Turn 2;7;12:32:02.008;4;no;no
70;Aleksandar BOGUNOVIC;GRS Team;4;Turn 1;10;12:36:42.149;4;no;no
71;Yani STEVENHEYDENS;GRS Team;1;Turn 2;5;12:28:42.482;4;no;no
71;Yani STEVENHEYDENS;GRS Team;2;Turn 1;7;12:31:46.873;4;no;no
71;Yani STEVENHEYDENS;GRS Team;3;Turn 1;9;12:34:59.145;4;no;no
71;Yani STEVENHEYDENS;GRS Team;4;Turn 2;12;12:39:55.554;4;no;no
77;Andrej PETROVIC;T-Code by Amtog;1;Turn 4;5;12:28:55.978;4;no;no
77;Andrej PETROVIC;T-Code by Amtog;2;Turn 2;6;12:30:24.422;4;no;no
77;Andrej PETROVIC;T-Code by Amtog;3;Turn 1;6;12:30:14.271;4;no;no
77;Andrej PETROVIC;T-Code by Amtog;4;Turn 4;6;12:30:34.029;4;no;no
81;Noah MONTEIRO;Campos Racing;1;Turn 1;7;12:31:41.691;2;no;no
81;Noah MONTEIRO;Campos Racing;2;Turn 4;12;12:39:54.822;2;no;no
88;Rogerio GROTTA;TC Racing;1;Turn 2;8;12:33:34.112;5;no;no
88;Rogerio GROTTA;TC Racing;2;Turn 4;8;12:33:43.819;5;no;no
88;Rogerio GROTTA;TC Racing;3;Turn 4;11;12:38:30.784;5;no;no
88;Rogerio GROTTA;TC Racing;4;Turn 6;14;12:43:35.009;5;no;no
88;Rogerio GROTTA;TC Racing;5;Turn 6;15;12:45:10.734;5;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;1;Turn 4;9;12:35:19.117;4;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;2;Turn 4;11;12:38:30.784;4;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;3;Turn 2;12;12:39:57.963;4;no;no
91;Lorenzo CAMPOS;Monlau Motorsport;4;Turn 1;15;12:44:37.145;4;no;no
99;Thomas STRAUVEN;Griffin Core;1;Turn 1;6;12:30:02.077;2;no;no
99;Thomas STRAUVEN;Griffin Core;2;Turn 1;11;12:37:54.879;2;no;no
