NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; S4; S4_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;S4_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;S4_SECONDS;
1;1;1;1:57.649;0;;34.466;0;24.338;0;32.163;0;26.682;0;132.0;1:57.649;12:15:29.240;0:34.466;0:24.338;0:32.163;0:26.682;;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;34.466;24.338;32.163;26.682;
1;1;2;1:47.876;0;;26.653;0;23.594;0;31.060;0;26.569;0;143.9;3:45.525;12:17:17.116;0:26.653;0:23.594;0:31.060;0:26.569;219.5;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.653;23.594;31.060;26.569;
1;1;3;2:02.501;0;;29.580;0;27.889;0;35.115;0;29.917;0;126.7;5:48.026;12:19:19.617;0:29.580;0:27.889;0:35.115;0:29.917;220.6;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;SF;29.580;27.889;35.115;29.917;
1;1;4;2:15.815;0;;29.316;0;34.741;0;39.597;0;32.161;0;114.3;8:03.841;12:21:35.432;0:29.316;0:34.741;0:39.597;0:32.161;202.2;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;SF;29.316;34.741;39.597;32.161;
1;1;5;2:19.724;0;;34.799;0;32.031;0;45.915;0;26.979;0;111.1;10:23.565;12:23:55.156;0:34.799;0:32.031;0:45.915;0:26.979;179.2;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;34.799;32.031;45.915;26.979;
1;1;6;1:48.245;0;;27.214;0;23.317;0;31.036;0;26.678;0;143.4;12:11.810;12:25:43.401;0:27.214;0:23.317;0:31.036;0:26.678;218.3;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;27.214;23.317;31.036;26.678;
1;1;7;1:47.520;0;;26.730;0;23.296;0;30.906;0;26.588;0;144.4;13:59.330;12:27:30.921;0:26.730;0:23.296;0:30.906;0:26.588;223.0;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.730;23.296;30.906;26.588;
1;1;8;1:48.249;0;;26.606;2;23.492;0;31.576;0;26.575;0;143.4;15:47.579;12:29:19.170;0:26.606;0:23.492;0:31.576;0:26.575;220.6;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.606;23.492;31.576;26.575;
1;1;9;1:49.152;0;;26.633;0;23.488;0;31.998;0;27.033;0;142.2;17:36.731;12:31:08.322;0:26.633;0:23.488;0:31.998;0:27.033;220.6;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.633;23.488;31.998;27.033;
1;1;10;1:47.804;0;;27.181;0;23.306;0;30.782;0;26.535;2;144.0;19:24.535;12:32:56.126;0:27.181;0:23.306;0:30.782;0:26.535;214.9;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;27.181;23.306;30.782;26.535;
1;1;11;1:47.463;0;;26.842;0;23.317;0;30.704;0;26.600;0;144.5;21:11.998;12:34:43.589;0:26.842;0:23.317;0:30.704;0:26.600;217.1;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.842;23.317;30.704;26.600;
1;1;12;1:47.355;0;;26.868;0;23.209;2;30.742;0;26.536;0;144.6;22:59.353;12:36:30.944;0:26.868;0:23.209;0:30.742;0:26.536;217.1;Hudson SCHWARTZ;;;A;KCL MP Motorsport;;GF;26.868;23.209;30.742;26.536;
