CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;LAPS;ELAPSED;GAP_FIRST;GAP_PREVIOUS;BEST_LAP_NUM;BEST_LAP_TIME;BEST_LAP_KPH;
R;3;1;4;MP Motorsport;Tatuus F4 T -421;Ean EYCKMANS;19;33:07.175;;;7;1:43.256;162.4;
R;4;2;5;Campos Racing;Tatuus F4 T -421;Miguel COSTA;19;33:12.777;+5.602;+5.602;4;1:43.359;162.2;
R;5;3;81;Campos Racing;Tatuus F4 T -421;Noah MONTEIRO;19;33:12.931;+5.756;+0.154;4;1:43.104;162.6;
R;8;4;12;G4 Racing;Tatuus F4 T -421;Philippe Armand KARRAS;19;33:24.628;+17.453;+11.697;5;1:43.476;162.0;
R;11;5;25;Monlau Motorsport;Tatuus F4 T -421;Miki BLASCOS;19;33:26.196;+19.021;+1.568;8;1:43.886;161.4;
R;12;6;48;Drivex;Tatuus F4 T -421;Christopher EL FEGHALI;19;33:29.480;+22.305;+3.284;4;1:43.206;162.4;
R;13;7;55;Rodin Motorsport;Tatuus F4 T -421;Emma FELBERMAYR;19;33:30.387;+23.212;+0.907;6;1:44.369;160.6;
R;14;8;57;DXR;Tatuus F4 T -421;Kaiden HIGGINS;19;33:31.557;+24.382;+1.170;10;1:44.131;161.0;
R;16;9;71;GRS Team;Tatuus F4 T -421;Pablo RICCOBONO;19;33:51.676;+44.501;+20.119;6;1:44.167;160.9;
R;19;10;2;Campos Racing;Tatuus F4 T -421;Vivek KANTHAN;19;34:25.332;+1'18.157;+33.656;15;1:42.591;163.4;
R;20;11;10;KCL MP Motorsport;Tatuus F4 T -421;Niklas SCHAUFLER;19;34:25.605;+1'18.430;+0.273;16;1:42.637;163.3;
R;22;12;3;MP Motorsport;Tatuus F4 T -421;Rocco CORONEL;19;34:38.316;+1'31.141;+12.711;16;1:42.623;163.4;
R;23;13;41;DXR;Tatuus F4 T -421;Stepan SUSLOV;18;33:03.323;1 Laps;1 Laps;13;1:43.539;161.9;
R;24;14;70;GRS Team;Tatuus F4 T -421;Aleksandar BOGUNOVIC;18;33:09.077;1 Laps;+5.754;18;1:43.780;161.5;
R;25;15;6;T-Code by Amtog;Tatuus F4 T -421;Aleix PIÑERA;18;33:34.209;1 Laps;+25.132;17;1:43.589;161.8;
R;28;16;13;G4 Racing;Tatuus F4 T -421;Jean Paul KARRAS;18;33:48.408;1 Laps;+14.199;16;1:43.246;162.4;
R;30;17;91;Monlau Motorsport;Tatuus F4 T -421;Santiago BAZTARRICA;18;33:55.092;1 Laps;+6.684;16;1:43.480;162.0;
R;32;18;17;Tecnicar by Amtog;Tatuus F4 T -421;Nacho TUÑON;18;34:13.479;1 Laps;+18.387;16;1:43.200;162.5;
R;33;19;39;TC Racing;Tatuus F4 T -421;Santino PANETTA;17;31:17.511;2 Laps;1 Laps;14;1:42.795;163.1;
