Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
6;Zack SCOULAR;Palou Motorsport;1;Turn 11;7;09:49:51.791;1;no;no
8;Enzo TARNVANICHKUL;Campos Racing;1;Turn 11;5;09:54:20.801;1;no;no
11;Oscar WURZ;Drivex;1;Turn 2;5;09:53:19.943;1;no;no
26;Isaac BARASHI;Palou Motorsport;1;Turn 7;9;09:55:20.050;1;no;no
26;Isaac BARASHI;Palou Motorsport;2;Turn 11;9;09:56:04.459;1;no;no
43;Linus HELLBERG;Allay Racing;1;Turn 11;1;09:32:07.182;4;no;no
43;Linus HELLBERG;Allay Racing;2;Turn 11;3;09:36:17.867;4;no;no
43;Linus HELLBERG;Allay Racing;3;Turn 2;8;09:51:27.681;4;no;no
43;Linus HELLBERG;Allay Racing;4;Turn 11;9;09:55:09.059;4;no;no
